experiment,encoder,classifier,fold,accuracy,macro_f1,ordinal_mae,recall_tight,recall_regular,recall_oversized
experiment_3,dinov2_vit_b14,linear_svm,5,0.9342105263157895,0.9328505697433839,0.06578947368421052,1.0,0.84,0.9615384615384616
experiment_3,dinov2_vit_b14,rbf_svm,1,0.8051948051948052,0.8051894197446758,0.19480519480519481,0.9230769230769231,0.7307692307692307,0.76
experiment_3,dinov2_vit_b14,rbf_svm,2,0.9090909090909091,0.9089994972347913,0.09090909090909091,0.9230769230769231,0.8461538461538461,0.96
experiment_3,dinov2_vit_b14,rbf_svm,3,0.881578947368421,0.8787991161791746,0.11842105263157894,0.92,0.76,0.9615384615384616
experiment_3,dinov2_vit_b14,rbf_svm,4,0.8157894736842105,0.8173076923076924,0.18421052631578946,0.84,0.76,0.8461538461538461
experiment_3,dinov2_vit_b14,rbf_svm,5,0.9473684210526315,0.9458572600492205,0.05263157894736842,1.0,0.84,1.0
experiment_3,dinov2_vit_b14,random_forest,1,0.7792207792207793,0.7721088435374149,0.22077922077922077,1.0,0.6153846153846154,0.72
experiment_3,dinov2_vit_b14,random_forest,2,0.8701298701298701,0.8692307692307693,0.12987012987012986,0.9230769230769231,0.7692307692307693,0.92
experiment_3,dinov2_vit_b14,random_forest,3,0.8552631578947368,0.8525869539272612,0.15789473684210525,0.88,0.72,0.9615384615384616
experiment_3,dinov2_vit_b14,random_forest,4,0.8157894736842105,0.813987544703416,0.18421052631578946,0.96,0.68,0.8076923076923077
experiment_3,dinov2_vit_b14,random_forest,5,0.8552631578947368,0.8522579244463744,0.14473684210526316,1.0,0.72,0.8461538461538461
experiment_3,dinov2_vit_b14,xgboost,1,0.7662337662337663,0.7621137727520706,0.23376623376623376,0.9615384615384616,0.6538461538461539,0.68
experiment_3,dinov2_vit_b14,xgboost,2,0.8311688311688312,0.8269156375539355,0.16883116883116883,0.9230769230769231,0.6538461538461539,0.92
experiment_3,dinov2_vit_b14,xgboost,3,0.8421052631578947,0.8412698412698413,0.15789473684210525,0.88,0.72,0.9230769230769231
experiment_3,dinov2_vit_b14,xgboost,4,0.8026315789473685,0.7966853408029878,0.19736842105263158,0.92,0.6,0.8846153846153846
experiment_3,dinov2_vit_b14,xgboost,5,0.881578947368421,0.878038628038628,0.13157894736842105,1.0,0.72,0.9230769230769231
